# ----------------------------------------
# Report CSV Export
# Account: 90 - SNO Sites
# Property: Vanderbilt University
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20240504
Country,Users,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time,Event count,Key events,Total revenue
Nigeria,1526,1516,693,0.3944223107569721,0.4541284403669725,40.76343381389253,6508,0,0
Ireland,1478,1447,655,0.3933933933933934,0.4431664411366712,35.192828146143434,6649,0,0
South Africa,1153,1140,595,0.44939577039274925,0.5160450997398092,44.774501300954036,4864,0,0
New Zealand,1149,1131,753,0.5136425648021828,0.6553524804177546,78.61444734551785,6111,0,0
Pakistan,1134,1130,764,0.5774754346182918,0.673721340388007,40.51146384479718,5512,0,0
Hong Kong,1105,1077,688,0.5066273932253313,0.6226244343891403,51.142081447963804,5377,0,0
Türkiye,1052,1045,513,0.40941739824421386,0.4876425855513308,33.04277566539924,4755,0,0
Israel,978,954,562,0.45691056910569106,0.5746421267893661,50.59713701431493,4772,0,0
Norway,971,958,484,0.4420091324200913,0.4984552008238929,29.572605561277033,3975,0,0
Czechia,966,956,234,0.222011385199241,0.2422360248447205,18.9472049689441,3560,0,0
Malaysia,892,883,483,0.47076023391812866,0.5414798206278026,45.10762331838565,3860,0,0
Taiwan,881,865,445,0.41280148423005564,0.5051078320090806,45.164585698070375,4019,0,0
Denmark,857,835,667,0.5194704049844237,0.7782963827304551,99.54375729288215,5755,0,0
Vietnam,805,800,445,0.4606625258799172,0.5527950310559007,44.66211180124223,3622,0,0
Switzerland,793,777,436,0.45087900723888313,0.5498108448928121,51.69735182849937,3665,0,0
Russia,739,734,295,0.35844471445929527,0.39918809201623817,26.50338294993234,3111,0,0
United Arab Emirates,732,721,411,0.45364238410596025,0.5614754098360656,40.868852459016395,3375,0,0
Thailand,724,718,342,0.41204819277108434,0.4723756906077348,34.35497237569061,3010,0,0
Ghana,564,562,226,0.367479674796748,0.40070921985815605,43.980496453900706,2319,0,0
Portugal,555,541,325,0.5070202808112324,0.5855855855855856,55.91171171171171,2515,0,0
Finland,546,534,242,0.38412698412698415,0.4432234432234432,44.42307692307692,2390,0,0
Belgium,542,537,308,0.4835164835164835,0.5682656826568265,53.42619926199262,2340,0,0
Austria,541,524,296,0.4471299093655589,0.5471349353049908,50.36598890942699,2596,0,0
Hungary,518,505,295,0.4609375,0.5694980694980695,56.11776061776062,2400,0,0
Romania,505,503,252,0.4263959390862944,0.499009900990099,38.552475247524754,2244,0,0
Greece,496,483,303,0.48792270531400966,0.6108870967741935,56.247983870967744,2354,0,0
Argentina,468,455,265,0.44612794612794615,0.5662393162393162,47.324786324786324,2521,0,0
Puerto Rico,452,441,206,0.3828996282527881,0.4557522123893805,47.71238938053097,1878,0,0
Egypt,392,386,181,0.418013856812933,0.461734693877551,40.11224489795919,1677,0,0
Colombia,382,378,185,0.41855203619909503,0.48429319371727747,38.02094240837696,1607,0,0
Iran,379,372,158,0.3863080684596577,0.41688654353562005,24.773087071240106,1598,0,0
Ukraine,351,347,198,0.4913151364764268,0.5641025641025641,29.78062678062678,1674,0,0
Saudi Arabia,348,346,170,0.43147208121827413,0.4885057471264368,58.8419540229885,1580,0,0
Chile,324,318,161,0.42933333333333334,0.49691358024691357,45.32716049382716,1437,0,0
Bangladesh,321,315,188,0.48205128205128206,0.5856697819314641,58.283489096573206,1667,0,0
Kenya,319,316,169,0.46174863387978143,0.5297805642633229,43.55485893416928,1322,0,0
Peru,295,292,166,0.47701149425287354,0.5627118644067797,39.71864406779661,1334,0,0
Costa Rica,259,249,128,0.4,0.4942084942084942,41.277992277992276,1232,0,0
Serbia,250,242,142,0.45222929936305734,0.568,50.552,1307,0,0
(not set),223,220,82,0.36123348017621143,0.36771300448430494,30.573991031390136,1187,0,0
Nepal,209,208,108,0.4426229508196721,0.5167464114832536,48.64114832535885,959,0,0
Morocco,207,199,102,0.4358974358974359,0.4927536231884058,39.65700483091788,913,0,0
Kazakhstan,202,201,75,0.3246753246753247,0.3712871287128713,26.985148514851485,867,0,0
Croatia,196,194,108,0.48868778280542985,0.5510204081632653,42.076530612244895,831,0,0
Jamaica,191,184,108,0.4444444444444444,0.5654450261780105,63.518324607329845,901,0,0
Bulgaria,186,184,85,0.40669856459330145,0.45698924731182794,30.28494623655914,790,0,0
Dominican Republic,173,172,81,0.41116751269035534,0.4682080924855491,36.346820809248555,696,0,0
Slovakia,158,157,83,0.45108695652173914,0.5253164556962026,26.72151898734177,684,0,0
British Virgin Islands,152,149,129,0.8486842105263158,0.8486842105263158,42.98684210526316,763,0,0
Sri Lanka,152,151,79,0.4388888888888889,0.5197368421052632,50.05921052631579,681,0,0
Algeria,142,145,116,0.5272727272727272,0.8169014084507042,42.683098591549296,834,0,0
Mongolia,142,142,51,0.2982456140350877,0.3591549295774648,45.79577464788732,631,0,0
Lithuania,140,139,74,0.4539877300613497,0.5285714285714286,31.57857142857143,594,0,0
Qatar,136,135,71,0.45222929936305734,0.5220588235294118,33.35294117647059,550,0,0
Bahamas,135,129,76,0.4175824175824176,0.562962962962963,62.71851851851852,655,0,0
Ecuador,127,126,52,0.34210526315789475,0.4094488188976378,42.16535433070866,552,0,0
Iraq,126,125,35,0.25735294117647056,0.2777777777777778,23.46031746031746,518,0,0
Jordan,123,121,53,0.3419354838709677,0.43089430894308944,43.43089430894309,569,0,0
Uganda,120,120,51,0.40476190476190477,0.425,37.083333333333336,454,0,0
Georgia,118,118,60,0.4411764705882353,0.5084745762711864,34.40677966101695,499,0,0
Slovenia,116,115,90,0.6,0.7758620689655172,126.52586206896552,815,0,0
Tanzania,115,114,50,0.4,0.43478260869565216,51.643478260869564,480,0,0
Panama,106,104,50,0.4132231404958678,0.4716981132075472,41.77358490566038,425,0,0
Belarus,102,102,36,0.3103448275862069,0.35294117647058826,14.235294117647058,405,0,0
Ethiopia,98,95,51,0.45535714285714285,0.5204081632653061,57.46938775510204,453,0,0
Zimbabwe,94,92,52,0.48598130841121495,0.5531914893617021,67.57446808510639,394,0,0
Estonia,93,92,54,0.5294117647058824,0.5806451612903226,58.655913978494624,380,0,0
Guam,93,91,57,0.4956521739130435,0.6129032258064516,73.9247311827957,416,0,0
Lebanon,91,90,50,0.43859649122807015,0.5494505494505495,29.98901098901099,411,0,0
Uzbekistan,90,90,38,0.38,0.4222222222222222,20.211111111111112,377,0,0
Iceland,84,83,48,0.4897959183673469,0.5714285714285714,63.226190476190474,383,0,0
Guatemala,82,78,36,0.34951456310679613,0.43902439024390244,34.36585365853659,378,0,0
Trinidad & Tobago,82,81,41,0.45054945054945056,0.5,38.46341463414634,311,0,0
Venezuela,79,79,43,0.5119047619047619,0.5443037974683544,31.68354430379747,326,0,0
Barbados,76,74,35,0.35,0.4605263157894737,52.01315789473684,349,0,0
Honduras,76,75,32,0.36363636363636365,0.42105263157894735,47.473684210526315,316,0,0
Cyprus,74,74,39,0.4431818181818182,0.527027027027027,34.78378378378378,333,0,0
Myanmar (Burma),72,72,38,0.4318181818181818,0.5277777777777778,32.02777777777778,325,0,0
Kuwait,71,71,29,0.3717948717948718,0.4084507042253521,27.408450704225352,283,0,0
Albania,70,68,42,0.5185185185185185,0.6,50.22857142857143,366,0,0
Cambodia,70,70,39,0.4482758620689655,0.5571428571428572,75.04285714285714,470,0,0
North Macedonia,69,69,35,0.42168674698795183,0.5072463768115942,42.11594202898551,342,0,0
Nicaragua,67,67,37,0.40217391304347827,0.5522388059701493,77.6268656716418,379,0,0
Luxembourg,66,64,27,0.4090909090909091,0.4090909090909091,49.81818181818182,245,0,0
Tunisia,66,66,42,0.5121951219512195,0.6363636363636364,46.53030303030303,304,0,0
Bosnia & Herzegovina,64,64,46,0.5822784810126582,0.71875,83.21875,312,0,0
Palestine,63,62,13,0.19402985074626866,0.20634920634920634,25.126984126984127,229,0,0
Latvia,62,62,27,0.3698630136986301,0.43548387096774194,28.661290322580644,269,0,0
Azerbaijan,60,59,28,0.4057971014492754,0.4666666666666667,29.483333333333334,256,0,0
Bolivia,60,60,31,0.4696969696969697,0.5166666666666667,42.78333333333333,251,0,0
Malta,60,58,43,0.4777777777777778,0.7166666666666667,42.28333333333333,347,0,0
U.S. Virgin Islands,55,53,26,0.41935483870967744,0.4727272727272727,70.54545454545455,237,0,0
Zambia,55,55,22,0.3333333333333333,0.4,49.58181818181818,225,0,0
Uruguay,53,51,33,0.559322033898305,0.6226415094339622,44.528301886792455,211,0,0
Belize,52,51,17,0.26153846153846155,0.3269230769230769,18.826923076923077,211,0,0
Bermuda,52,51,24,0.375,0.46153846153846156,72.38461538461539,264,0,0
Paraguay,52,52,25,0.43859649122807015,0.4807692307692308,33.67307692307692,207,0,0
Cameroon,51,50,29,0.3972602739726027,0.5686274509803921,119.94117647058823,321,0,0
Bahrain,50,50,27,0.39705882352941174,0.54,34.04,258,0,0
El Salvador,49,48,21,0.3888888888888889,0.42857142857142855,45.6530612244898,199,0,0
Rwanda,48,48,33,0.6226415094339622,0.6875,64.20833333333333,204,0,0
Armenia,47,47,25,0.390625,0.5319148936170213,8.851063829787234,215,0,0
Guyana,44,44,20,0.36363636363636365,0.45454545454545453,122.9090909090909,191,0,0
Mauritius,44,44,17,0.38636363636363635,0.38636363636363635,50.75,152,0,0
Moldova,43,42,22,0.44,0.5116279069767442,20.023255813953487,187,0,0
Turks & Caicos Islands,38,31,22,0.46808510638297873,0.5789473684210527,60.76315789473684,167,0,0
Cayman Islands,37,36,14,0.32558139534883723,0.3783783783783784,18.972972972972972,141,0,0
Brunei,33,33,18,0.5,0.5454545454545454,38.78787878787879,141,0,0
Oman,33,33,21,0.5384615384615384,0.6363636363636364,45.36363636363637,147,0,0
Kosovo,29,29,22,0.5641025641025641,0.7586206896551724,50.3448275862069,157,0,0
Palau,29,25,8,0.24242424242424243,0.27586206896551724,13.689655172413794,99,0,0
Aruba,27,25,13,0.35135135135135137,0.48148148148148145,65.22222222222223,120,0,0
Kyrgyzstan,27,27,10,0.3225806451612903,0.37037037037037035,29.37037037037037,108,0,0
Maldives,27,26,18,0.43902439024390244,0.6666666666666666,60.2962962962963,133,0,0
Senegal,27,27,16,0.48484848484848486,0.5925925925925926,25.37037037037037,124,0,0
Botswana,26,26,17,0.5,0.6538461538461539,75.11538461538461,144,0,0
Namibia,26,26,16,0.3902439024390244,0.6153846153846154,33,130,0,0
Antigua & Barbuda,25,23,12,0.46153846153846156,0.48,27.76,93,0,0
Libya,25,24,9,0.36,0.36,38.52,88,0,0
Malawi,25,24,10,0.35714285714285715,0.4,60,93,0,0
Seychelles,25,25,4,0.16,0.16,16.48,81,0,0
Liberia,22,22,9,0.4090909090909091,0.4090909090909091,24.40909090909091,81,0,0
Papua New Guinea,22,22,6,0.2727272727272727,0.2727272727272727,16.09090909090909,78,0,0
St. Martin,21,17,13,0.5,0.6190476190476191,184.95238095238096,184,0,0
Montenegro,19,19,10,0.45454545454545453,0.5263157894736842,33.21052631578947,99,0,0
Grenada,18,17,7,0.2916666666666667,0.3888888888888889,15,80,0,0
Angola,17,17,7,0.35,0.4117647058823529,40.05882352941177,68,0,0
Congo - Kinshasa,17,17,6,0.3,0.35294117647058826,26.823529411764707,71,0,0
Gambia,17,17,8,0.47058823529411764,0.47058823529411764,35.588235294117645,59,0,0
Mozambique,17,17,7,0.3333333333333333,0.4117647058823529,49,78,0,0
Syria,17,17,3,0.16666666666666666,0.17647058823529413,6.411764705882353,62,0,0
Isle of Man,16,16,9,0.5294117647058824,0.5625,16.5625,75,0,0
Jersey,16,16,6,0.3333333333333333,0.375,23,60,0,0
Somalia,16,16,10,0.625,0.625,27.1875,60,0,0
St. Kitts & Nevis,16,16,12,0.7058823529411765,0.75,100.4375,68,0,0
Turkmenistan,15,14,4,0.26666666666666666,0.26666666666666666,2,52,0,0
Eswatini,14,14,7,0.3181818181818182,0.5,36.142857142857146,68,0,0
Laos,14,14,7,0.4666666666666667,0.5,31.071428571428573,52,0,0
Madagascar,14,14,9,0.5294117647058824,0.6428571428571429,97.5,59,0,0
Northern Mariana Islands,14,14,4,0.26666666666666666,0.2857142857142857,16.571428571428573,51,0,0
Sierra Leone,14,13,3,0.17647058823529413,0.21428571428571427,31.5,55,0,0
Cuba,13,12,7,0.4666666666666667,0.5384615384615384,57.61538461538461,62,0,0
Curaçao,13,13,8,0.47058823529411764,0.6153846153846154,43.92307692307692,69,0,0
Macao,13,13,9,0.5,0.6923076923076923,32.30769230769231,70,0,0
Yemen,13,13,4,0.3076923076923077,0.3076923076923077,27.846153846153847,45,0,0
American Samoa,12,12,5,0.35714285714285715,0.4166666666666667,13.833333333333334,47,0,0
Benin,12,12,4,0.3076923076923077,0.3333333333333333,17.916666666666668,46,0,0
Fiji,12,11,4,0.26666666666666666,0.3333333333333333,40.416666666666664,47,0,0
Haiti,12,12,10,0.45454545454545453,0.8333333333333334,138.08333333333334,79,0,0
Mayotte,11,11,0,0,0,0,33,0,0
Sint Maarten,11,10,3,0.23076923076923078,0.2727272727272727,16.272727272727273,40,0,0
Afghanistan,10,10,4,0.4,0.4,10.1,35,0,0
Anguilla,9,9,4,0.4444444444444444,0.4444444444444444,70.66666666666667,32,0,0
Côte d’Ivoire,9,9,2,0.2,0.2222222222222222,6.555555555555555,34,0,0
French Polynesia,9,8,5,0.45454545454545453,0.5555555555555556,99.77777777777777,40,0,0
Burundi,8,8,2,0.2222222222222222,0.25,36.5,31,0,0
Guernsey,8,8,3,0.3,0.375,14.125,31,0,0
South Sudan,8,8,6,0.75,0.75,53.75,37,0,0
Bhutan,7,7,5,0.7142857142857143,0.7142857142857143,46.285714285714285,28,0,0
Samoa,7,5,11,0.55,1.5714285714285714,116.28571428571429,63,0,0
St. Lucia,7,6,5,0.625,0.7142857142857143,475.2857142857143,71,0,0
Suriname,7,7,5,0.7142857142857143,0.7142857142857143,25.571428571428573,26,0,0
Tajikistan,7,7,4,0.5,0.5714285714285714,47,28,0,0
Togo,7,7,7,1,1,91.85714285714286,40,0,0
Dominica,6,6,4,0.5714285714285714,0.6666666666666666,97.5,26,0,0
Faroe Islands,6,5,2,0.3333333333333333,0.3333333333333333,11.5,21,0,0
Nauru,6,6,0,0,0,0,18,0,0
Sudan,6,4,4,0.6666666666666666,0.6666666666666666,44.833333333333336,27,0,0
Djibouti,5,5,4,0.5714285714285714,0.8,60.4,146,0,0
Gibraltar,5,5,3,0.6,0.6,34.6,19,0,0
Lesotho,5,5,3,0.6,0.6,86.8,20,0,0
Micronesia,5,5,1,0.2,0.2,5.6,16,0,0
Réunion,5,5,3,0.42857142857142855,0.6,28,26,0,0
St. Vincent & Grenadines,5,5,1,0.125,0.2,49,22,0,0
Andorra,4,4,2,0.5,0.5,57,15,0,0
Caribbean Netherlands,4,4,3,0.6,0.75,134.5,21,0,0
Liechtenstein,4,4,3,0.75,0.75,27.25,15,0,0
Niger,4,4,1,0.25,0.25,4.75,14,0,0
Solomon Islands,4,4,2,0.5,0.5,46,15,0,0
Chad,3,3,0,0,0,0,9,0,0
Gabon,3,3,3,1,1,57,16,0,0
Greenland,3,3,1,0.3333333333333333,0.3333333333333333,42.666666666666664,11,0,0
Guadeloupe,3,3,3,1,1,101,13,0,0
